Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,,,0,3.77,HarperVoyager,Kindle Edition,559,2025,2025,,2026/01/15,"to-read, 2026","to-read (#103), 2026 (#41)",to-read
239960837,"Daggermouth (The Heart, #1)",H.M.  Wolfe,"Wolfe, H.M.",,,,0,4.47,,Kindle Edition,566,2025,2025,,2026/02/09,"to-read, 2026","to-read (#126), 2026 (#40)",to-read
225699786,The Everlasting,Alix E. Harrow,"Harrow, Alix E.",,1250799082,9781250799081,0,4.27,Tor Books,Hardcover,320,2025,2025,,2026/02/21,"to-read, 2026","to-read (#130), 2026 (#39)",to-read
127305853,The Women,Kristin Hannah,"Hannah, Kristin",,1250178630,9781250178633,0,4.59,St. Martin's Press,Hardcover,471,2024,2024,,2026/02/01,"to-read, 2026","to-read (#118), 2026 (#38)",to-read
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,0345539788,9780345539786,0,4.27,Del Rey,Hardcover,382,2014,2014,,2026/01/13,"to-read, 2026","to-read (#95), 2026 (#37)",to-read
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,0141439580,9780141439587,0,4.05,Penguin Books,Paperback,474,2003,1815,,2026/02/28,"to-read, 2026","to-read (#137), 2026 (#36)",to-read
2156,Persuasion,Jane Austen,"Austen, Jane","James Kinsley, Deidre Shauna Lynch",0192802631,9780192802637,0,4.15,Oxford University Press,Paperback,249,2004,1817,,2025/04/03,"to-read, 2026","to-read (#31), 2026 (#35)",to-read
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,,,0,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,,2026/01/15,"to-read, 2026","to-read (#102), 2026 (#34)",to-read
50224049,How to Kill Your Family,Bella Mackie,"Mackie, Bella",,,,0,3.51,The Borough Press,Hardcover,355,2021,2021,,2026/02/28,"to-read, 2026","to-read (#136), 2026 (#33)",to-read
29044,The Secret History,Donna Tartt,"Tartt, Donna",,1400031702,9781400031702,0,4.15,Vintage Books,Paperback,559,2004,1992,,2026/02/21,"to-read, 2026","to-read (#131), 2026 (#32)",to-read
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,,,0,3.72,William Morrow,Paperback,319,2023,2023,,2026/02/27,to-read,to-read (#135),to-read
33547,Hell House,Richard Matheson,"Matheson, Richard",,0727860992,9780727860996,0,3.69,Severn House,Hardcover,301,2004,1971,,2026/02/27,currently-reading,currently-reading (#3),currently-reading
